,book name ,book price
0,Building an Effective Data Science Practice,259 EGP
1,Azure Data Scientist Associate Certification Guide,289 EGP
2,Data Science Solutions with Python,149 EGP
3,Practical Data Science with Python,369 EGP
4,Building Data Science Applications with FastAPI,279 EGP
5,Cybersecurity Data Science,279 EGP
6,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
7,Programming Skills for Data Science,269 EGP
8,The Self-Service Data Roadmap,219 EGP
9,Data Science at the Command Line,219 EGP
10,Data Processing with Optimus,219 EGP
11,Cleaning Data for Effective Data Science,309 EGP
12,Python and R for the Modern Data Scientist,179 EGP
13,Scientific Computing with Python,259 EGP
14,Data Science Fundamentals Pocket Primer,289 EGP
15,Building an Effective Data Science Practice,259 EGP
16,Azure Data Scientist Associate Certification Guide,289 EGP
17,Data Science Solutions with Python,149 EGP
18,Practical Data Science with Python,369 EGP
19,Building Data Science Applications with FastAPI,279 EGP
20,Cybersecurity Data Science,279 EGP
21,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
22,Programming Skills for Data Science,269 EGP
23,The Self-Service Data Roadmap,219 EGP
24,Data Science at the Command Line,219 EGP
25,Data Processing with Optimus,219 EGP
26,Cleaning Data for Effective Data Science,309 EGP
27,Python and R for the Modern Data Scientist,179 EGP
28,Scientific Computing with Python,259 EGP
29,Data Science Fundamentals Pocket Primer,289 EGP
30,Building an Effective Data Science Practice,259 EGP
31,Azure Data Scientist Associate Certification Guide,289 EGP
32,Data Science Solutions with Python,149 EGP
33,Practical Data Science with Python,369 EGP
34,Building Data Science Applications with FastAPI,279 EGP
35,Cybersecurity Data Science,279 EGP
36,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
37,Programming Skills for Data Science,269 EGP
38,The Self-Service Data Roadmap,219 EGP
39,Data Science at the Command Line,219 EGP
40,Data Processing with Optimus,219 EGP
41,Cleaning Data for Effective Data Science,309 EGP
42,Python and R for the Modern Data Scientist,179 EGP
43,Scientific Computing with Python,259 EGP
44,Data Science Fundamentals Pocket Primer,289 EGP
45,Building an Effective Data Science Practice,259 EGP
46,Azure Data Scientist Associate Certification Guide,289 EGP
47,Data Science Solutions with Python,149 EGP
48,Practical Data Science with Python,369 EGP
49,Building Data Science Applications with FastAPI,279 EGP
50,Cybersecurity Data Science,279 EGP
51,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
52,Programming Skills for Data Science,269 EGP
53,The Self-Service Data Roadmap,219 EGP
54,Data Science at the Command Line,219 EGP
55,Data Processing with Optimus,219 EGP
56,Cleaning Data for Effective Data Science,309 EGP
57,Python and R for the Modern Data Scientist,179 EGP
58,Scientific Computing with Python,259 EGP
59,Data Science Fundamentals Pocket Primer,289 EGP
60,Building an Effective Data Science Practice,259 EGP
61,Azure Data Scientist Associate Certification Guide,289 EGP
62,Data Science Solutions with Python,149 EGP
63,Practical Data Science with Python,369 EGP
64,Building Data Science Applications with FastAPI,279 EGP
65,Cybersecurity Data Science,279 EGP
66,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
67,Programming Skills for Data Science,269 EGP
68,The Self-Service Data Roadmap,219 EGP
69,Data Science at the Command Line,219 EGP
70,Data Processing with Optimus,219 EGP
71,Cleaning Data for Effective Data Science,309 EGP
72,Python and R for the Modern Data Scientist,179 EGP
73,Scientific Computing with Python,259 EGP
74,Data Science Fundamentals Pocket Primer,289 EGP
75,Building an Effective Data Science Practice,259 EGP
76,Azure Data Scientist Associate Certification Guide,289 EGP
77,Data Science Solutions with Python,149 EGP
78,Practical Data Science with Python,369 EGP
79,Building Data Science Applications with FastAPI,279 EGP
80,Cybersecurity Data Science,279 EGP
81,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
82,Programming Skills for Data Science,269 EGP
83,The Self-Service Data Roadmap,219 EGP
84,Data Science at the Command Line,219 EGP
85,Data Processing with Optimus,219 EGP
86,Cleaning Data for Effective Data Science,309 EGP
87,Python and R for the Modern Data Scientist,179 EGP
88,Scientific Computing with Python,259 EGP
89,Data Science Fundamentals Pocket Primer,289 EGP
90,Building an Effective Data Science Practice,259 EGP
91,Azure Data Scientist Associate Certification Guide,289 EGP
92,Data Science Solutions with Python,149 EGP
93,Practical Data Science with Python,369 EGP
94,Building Data Science Applications with FastAPI,279 EGP
95,Cybersecurity Data Science,279 EGP
96,"The Data Science Handbook, Advice and Insights from 25 Amazing Data Scientists",219 EGP
97,Programming Skills for Data Science,269 EGP
98,The Self-Service Data Roadmap,219 EGP
99,Data Science at the Command Line,219 EGP
100,Data Processing with Optimus,219 EGP
101,Cleaning Data for Effective Data Science,309 EGP
102,Python and R for the Modern Data Scientist,179 EGP
103,Scientific Computing with Python,259 EGP
104,Data Science Fundamentals Pocket Primer,289 EGP
